,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
0,Charlton,Man City,4,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,18.0,18.0,1.0,0.0,0.0,0.0,MMM,MMM,0,0,0.0
1,Chelsea,West Ham,4,2,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,5.0,9.0,1.0,-4.0,0.0,0.0,MMM,MMM,0,0,0.0
2,Coventry,Middlesbrough,1,3,A,0,0,0,0,0.0,0.0,M,M,M,M,M,M,14.0,12.0,1.0,2.0,0.0,0.0,MMM,MMM,0,0,0.0
3,Derby,Southampton,2,2,D,0,0,0,0,0.0,0.0,M,M,M,M,M,M,16.0,15.0,1.0,1.0,0.0,0.0,MMM,MMM,0,0,0.0
4,Leeds,Everton,2,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,3.0,13.0,1.0,-10.0,0.0,0.0,MMM,MMM,0,0,0.0
5,Leicester,Aston Villa,0,0,D,0,0,0,0,0.0,0.0,M,M,M,M,M,M,8.0,6.0,1.0,2.0,0.0,0.0,MMM,MMM,0,0,0.0
6,Liverpool,Bradford,1,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,4.0,17.0,1.0,-13.0,0.0,0.0,MMM,MMM,0,0,0.0
7,Sunderland,Arsenal,1,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,7.0,2.0,1.0,5.0,0.0,0.0,MMM,MMM,0,0,0.0
8,Tottenham,Ipswich,3,1,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,10.0,18.0,1.0,-8.0,0.0,0.0,MMM,MMM,0,0,0.0
9,Man United,Newcastle,2,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,1.0,11.0,1.0,-10.0,0.0,0.0,MMM,MMM,0,0,0.0
10,Arsenal,Liverpool,2,0,H,0,1,1,0,0.0,1.5,L,M,M,W,M,M,2.0,4.0,2.0,-2.0,-0.5,0.5,LMM,WMM,0,3,-1.5
11,Bradford,Chelsea,2,0,H,0,4,1,2,0.0,1.5,L,M,M,W,M,M,17.0,5.0,2.0,12.0,-0.5,1.0,LMM,WMM,0,3,-1.5
12,Ipswich,Man United,1,1,D,1,2,3,0,0.0,1.5,L,M,M,W,M,M,18.0,1.0,2.0,17.0,-1.0,1.0,LMM,WMM,0,3,-1.5
13,Middlesbrough,Tottenham,1,1,D,3,3,1,1,1.5,1.5,W,M,M,W,M,M,12.0,10.0,2.0,2.0,1.0,1.0,WMM,WMM,3,3,0.0
